Temperature (°C),Pressure (Pa),Humidity (%),Gas Resistance (Ohms),IAQ Score
28.79,93651.20,50.69,142872.44,25.00
26.43,93642.70,52.43,73882.96,30.00
26.69,93643.01,52.27,75899.20,30.00
26.70,93642.70,51.62,77020.18,25.00
26.70,93640.63,49.89,80358.18,25.00
26.70,93637.69,50.15,78690.88,25.00
26.71,93637.70,50.72,78468.85,25.00
26.71,93637.88,50.67,78765.16,25.00
26.69,93636.97,49.01,81695.75,20.00
26.69,93635.68,50.06,79743.77,25.00
27.02,93628.61,49.28,82913.49,20.00
27.00,93629.01,49.76,82016.98,25.00
26.98,93629.45,49.82,82178.52,25.00
26.96,93627.81,49.74,82749.03,25.00
26.94,93627.11,49.53,83661.72,20.00
26.91,93625.09,49.11,84680.61,20.00
26.90,93622.49,50.41,81297.74,25.00
27.98,93612.43,50.06,98161.77,25.00
27.99,93612.83,50.37,98335.30,25.00
27.99,93611.42,49.98,100285.46,25.00
27.98,93611.88,49.56,101382.14,20.00
27.98,93609.74,50.21,98625.88,25.00
27.97,93607.42,50.23,99035.62,25.00
27.99,93607.81,51.64,97587.73,25.00
26.10,93587.31,52.61,43230.34,30.00
26.18,93587.20,52.20,58498.45,30.00
27.20,93584.08,51.62,85636.65,25.00
28.60,93580.51,51.87,139878.45,25.00
26.71,93557.91,50.91,79138.69,25.00
27.03,93557.28,50.67,82585.22,25.00
27.51,93554.09,51.53,87984.55,25.00
27.54,93553.70,51.93,86078.39,25.00
27.56,93554.39,51.12,88450.90,25.00
27.56,93553.86,50.36,89686.89,25.00
27.56,93552.56,50.46,88357.23,25.00
27.57,93553.50,50.14,88450.90,25.00
27.60,93552.91,49.96,88922.23,25.00
27.61,93552.34,49.77,89590.59,25.00
27.62,93551.53,49.71,89494.48,25.00
27.62,93551.27,49.68,89017.10,25.00
27.64,93549.70,49.64,90171.51,25.00
27.08,93508.84,50.33,81297.74,25.00
27.08,93508.59,50.42,79820.05,25.00
27.08,93508.04,50.23,81218.61,25.00
27.08,93509.61,50.35,80903.60,25.00
27.53,93507.77,49.43,90760.03,20.00
27.53,93507.26,49.91,88170.49,25.00
27.53,93506.84,49.97,88827.56,25.00
27.52,93505.99,49.89,88922.23,25.00
27.52,93507.51,50.06,87984.55,25.00
27.53,93505.62,49.96,88077.42,25.00
27.54,93505.83,49.48,90957.90,20.00
27.55,93506.21,49.07,91256.34,20.00
27.56,93504.55,49.02,90760.03,20.00
27.57,93505.07,49.70,87707.09,25.00
27.60,93504.30,50.24,86614.52,25.00
