ADC Value,Rs (kOhms),Concentration (ppm)
152,259.41,7.87
149,264.83,7.51
155,254.19,8.23
152,259.41,7.87
155,254.19,8.23
156,252.50,8.35
157,250.83,8.47
155,254.19,8.23
153,257.65,7.99
151,261.19,7.75
140,282.50,6.51
151,261.19,7.75
150,263.00,7.63
169,232.31,10.04
154,255.91,8.11
157,250.83,8.47
155,254.19,8.23
157,250.83,8.47
167,235.21,9.77
148,266.69,7.40
155,254.19,8.23
149,264.83,7.51
156,252.50,8.35
154,255.91,8.11
149,264.83,7.51
153,257.65,7.99
151,261.19,7.75
154,255.91,8.11
149,264.83,7.51
154,255.91,8.11
154,255.91,8.11
153,257.65,7.99
153,257.65,7.99
149,264.83,7.51
156,252.50,8.35
153,257.65,7.99
155,254.19,8.23
162,242.78,9.11
152,259.41,7.87
159,247.55,8.72
156,252.50,8.35
148,266.69,7.40
153,257.65,7.99
153,257.65,7.99
156,252.50,8.35
154,255.91,8.11
154,255.91,8.11
153,257.65,7.99
152,259.41,7.87
153,257.65,7.99
153,257.65,7.99
148,266.69,7.40
154,255.91,8.11
152,259.41,7.87
149,264.83,7.51
146,270.48,7.17
155,254.19,8.23
154,255.91,8.11
154,255.91,8.11
154,255.91,8.11
156,252.50,8.35
152,259.41,7.87
155,254.19,8.23
152,259.41,7.87
154,255.91,8.11
149,264.83,7.51
157,250.83,8.47
155,254.19,8.23
153,257.65,7.99
154,255.91,8.11
154,255.91,8.11
150,263.00,7.63
160,245.94,8.85
155,254.19,8.23
154,255.91,8.11
149,264.83,7.51
154,255.91,8.11
156,252.50,8.35
156,252.50,8.35
168,233.75,9.90
151,261.19,7.75
155,254.19,8.23
156,252.50,8.35
152,259.41,7.87
157,250.83,8.47
155,254.19,8.23
157,250.83,8.47
155,254.19,8.23
154,255.91,8.11
150,263.00,7.63
154,255.91,8.11
149,264.83,7.51
154,255.91,8.11
156,252.50,8.35
154,255.91,8.11
154,255.91,8.11
153,257.65,7.99
153,257.65,7.99
156,252.50,8.35
163,241.23,9.24
153,257.65,7.99
155,254.19,8.23
148,266.69,7.40
152,259.41,7.87
153,257.65,7.99
148,266.69,7.40
160,245.94,8.85
153,257.65,7.99
154,255.91,8.11
149,264.83,7.51
154,255.91,8.11
157,250.83,8.47
153,257.65,7.99
153,257.65,7.99
154,255.91,8.11
149,264.83,7.51
156,252.50,8.35
154,255.91,8.11
153,257.65,7.99
152,259.41,7.87
156,252.50,8.35
153,257.65,7.99
154,255.91,8.11
153,257.65,7.99
157,250.83,8.47
148,266.69,7.40
157,250.83,8.47
152,259.41,7.87
153,257.65,7.99
149,264.83,7.51
151,261.19,7.75
152,259.41,7.87
152,259.41,7.87
152,259.41,7.87
152,259.41,7.87
155,254.19,8.23
152,259.41,7.87
152,259.41,7.87
150,263.00,7.63
