Type,ADC Value,Rs (kOhms),Concentration (ppm),Temperature (°C),Pressure (Pa),Humidity (%),Gas Resistance (Ohms),IAQ Score
MQ-135,152,259.41,7.87,,,,,
MQ-135,149,264.83,7.51,,,,,
MQ-135,155,254.19,8.23,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,155,254.19,8.23,,,,,
MQ-135,156,252.50,8.35,,,,,
MQ-135,157,250.83,8.47,,,,,
MQ-135,155,254.19,8.23,,,,,
MQ-135,153,257.65,7.99,,,,,
BME680,,,,28.79,93651.20,50.69,142872.44,25.00
MQ-135,151,261.19,7.75,,,,,
MQ-135,140,282.50,6.51,,,,,
MQ-135,151,261.19,7.75,,,,,
MQ-135,150,263.00,7.63,,,,,
MQ-135,169,232.31,10.04,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,157,250.83,8.47,,,,,
MQ-135,155,254.19,8.23,,,,,
MQ-135,157,250.83,8.47,,,,,
MQ-135,167,235.21,9.77,,,,,
MQ-135,148,266.69,7.40,,,,,
MQ-135,155,254.19,8.23,,,,,
MQ-135,149,264.83,7.51,,,,,
MQ-135,156,252.50,8.35,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,149,264.83,7.51,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,151,261.19,7.75,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,149,264.83,7.51,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,149,264.83,7.51,,,,,
MQ-135,156,252.50,8.35,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,155,254.19,8.23,,,,,
MQ-135,162,242.78,9.11,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,159,247.55,8.72,,,,,
MQ-135,156,252.50,8.35,,,,,
MQ-135,148,266.69,7.40,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,156,252.50,8.35,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,148,266.69,7.40,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,149,264.83,7.51,,,,,
MQ-135,146,270.48,7.17,,,,,
MQ-135,155,254.19,8.23,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,156,252.50,8.35,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,155,254.19,8.23,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,149,264.83,7.51,,,,,
MQ-135,157,250.83,8.47,,,,,
MQ-135,155,254.19,8.23,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,150,263.00,7.63,,,,,
MQ-135,160,245.94,8.85,,,,,
MQ-135,155,254.19,8.23,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,149,264.83,7.51,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,156,252.50,8.35,,,,,
MQ-135,156,252.50,8.35,,,,,
MQ-135,168,233.75,9.90,,,,,
MQ-135,151,261.19,7.75,,,,,
MQ-135,155,254.19,8.23,,,,,
MQ-135,156,252.50,8.35,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,157,250.83,8.47,,,,,
MQ-135,155,254.19,8.23,,,,,
MQ-135,157,250.83,8.47,,,,,
MQ-135,155,254.19,8.23,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,150,263.00,7.63,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,149,264.83,7.51,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,156,252.50,8.35,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,156,252.50,8.35,,,,,
MQ-135,163,241.23,9.24,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,155,254.19,8.23,,,,,
MQ-135,148,266.69,7.40,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,148,266.69,7.40,,,,,
MQ-135,160,245.94,8.85,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,149,264.83,7.51,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,157,250.83,8.47,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,149,264.83,7.51,,,,,
MQ-135,156,252.50,8.35,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,156,252.50,8.35,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,154,255.91,8.11,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,157,250.83,8.47,,,,,
MQ-135,148,266.69,7.40,,,,,
MQ-135,157,250.83,8.47,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,149,264.83,7.51,,,,,
MQ-135,151,261.19,7.75,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,155,254.19,8.23,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,150,263.00,7.63,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,146,270.48,7.17,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,149,264.83,7.51,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,153,257.65,7.99,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,151,261.19,7.75,,,,,
MQ-135,149,264.83,7.51,,,,,
MQ-135,157,250.83,8.47,,,,,
MQ-135,160,245.94,8.85,,,,,
MQ-135,152,259.41,7.87,,,,,
MQ-135,150,263.00,7.63,,,,,
MQ-135,160,245.94,8.85,,,,,
MQ-135,150,263.00,7.63,,,,,
BME680,,,,26.43,93642.70,52.43,73882.96,30.00
